,cip_code,earnings.highest.1_yr.male_median_earnings,earnings.highest.1_yr.nonmale_median_earnings,earnings.highest.1_yr.overall_median_earnings,earnings.highest.3_yr.male_median_earnings,earnings.highest.3_yr.nonmale_median_earnings,earnings.highest.2_yr.overall_median_earnings,CIPCode,CIPTitle
280,44.02,41220.88888888889,37184.5625,36775.333333333336,52175.0,38605.24444444445,36882.54166666666,44.02,Community Organization and Advocacy.
281,44.04,58453.38779761905,51398.29555735931,52043.74918831169,64818.30436507936,55241.49257662836,51030.70847960633,44.04,Public Administration.
282,44.05,53953.21666666666,49885.80448717949,47492.2359375,73129.11403508772,63944.33974358974,49178.84978070176,44.05,Public Policy Analysis.
283,44.07,46738.49766666666,38472.0278386076,38223.77875960926,50007.970588235294,43034.3241889245,36871.73499534882,44.07,Social Work.
284,44.99,45013.5,45793.66666666666,49516.07692307692,66884.42857142857,39831.8,48564.140625,44.99,"Public Administration and Social Service Professions, Other."
285,45.01,37118.31111111111,31630.227642276423,33126.230158730155,43308.82738095238,36190.67583333333,33032.58670229997,45.01,"Social Sciences, General."
286,45.02,26625.397727272728,25413.18859792689,26082.66341944185,34039.670940170945,32300.47462121212,26720.66613648775,45.02,Anthropology.
287,45.03,,,27671.0,,30852.0,24201.0,45.03,Archeology.
288,45.04,35866.278787878786,32213.07629629629,33419.9231292517,44189.23375,38386.76666666667,34685.44074074074,45.04,Criminology.
289,45.05,,,,,,,45.05,Demography and Population Studies.
290,45.06,48462.78296677428,51874.37431162941,47831.78076912331,60751.4472558515,60175.8551497114,49340.63731088765,45.06,Economics.
291,45.07,40626.82333333333,36809.78947368421,37118.58018518519,45850.11428571429,40782.84375,36823.08166208791,45.07,Geography and Cartography.
292,45.09,46727.26298701299,40514.436046511626,40278.55853548967,58337.666031746034,48963.296747967484,40251.88235624439,45.09,International Relations and National Security Studies.
293,45.10,35846.30186457061,35060.44486952862,34154.3742421169,45981.42784352744,43730.67003326051,34995.05479811164,45.10,Political Science and Government.
294,45.11,33777.154222821206,30730.46713133641,31390.978149496008,42496.87072829132,36872.51569180898,32141.769892703524,45.11,Sociology.
295,45.12,39099.66666666666,35345.681818181816,39075.56818181818,51804.5,48812.583333333336,38184.371527777774,45.12,Urban Studies/Affairs.
296,45.13,42554.0,25064.6,25272.0,,34584.4,29054.5,45.13,Sociology and Anthropology.
297,45.14,,,26905.0,,52988.0,,45.14,Rural Sociology.
